"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","５人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","５人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","５人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2013.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2014.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","５人以上","2015.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","D建設業","５人以上","2005.0","232.7","222.0","276.7","312.0","222.0","250.8","331.4","212.4","173.8","196.2","205.9","202.7","186.6"
"所定外労働時間（総数）","D建設業","５人以上","2006.0","112.4","99.8","93.3","138.2","119.1","99.8","119.1","83.5","71.0","141.5","125.7","144.7","112.6"
"所定外労働時間（総数）","D建設業","５人以上","2007.0","107.0","164.0","117.5","142.4","89.4","88.9","93.8","103.1","92.4","109.1","84.7","106.3","91.9"
"所定外労働時間（総数）","D建設業","５人以上","2008.0","96.2","79.3","151.5","181.7","108.9","74.0","74.0","93.8","75.9","86.3","74.5","78.7","75.6"
"所定外労働時間（総数）","D建設業","５人以上","2009.0","72.2","68.6","72.6","97.7","86.6","86.8","75.4","56.3","52.4","68.2","66.6","58.9","76.8"
"所定外労働時間（総数）","D建設業","５人以上","2010.0","100.0","112.2","138.2","107.0","93.3","73.5","79.8","95.9","114.3","94.5","84.7","101.2","105.4"
"所定外労働時間（総数）","D建設業","５人以上","2011.0","155.7","105.6","144.7","116.3","88.0","69.8","84.5","150.6","186.2","232.2","224.5","235.5","229.9"
"所定外労働時間（総数）","D建設業","５人以上","2012.0","269.3","236.5","293.7","302.9","284.3","255.2","239.7","260.8","263.5","251.7","273.3","271.8","298.4"
"所定外労働時間（総数）","D建設業","５人以上","2013.0","291.6","218.4","269.1","325.2","335.1","247.5","222.3","266.2","306.0","330.0","354.5","297.8","327.1"
"所定外労働時間（総数）","D建設業","５人以上","2014.0","220.8","156.5","143.0","206.5","203.3","177.2","176.2","231.8","246.7","259.2","266.6","290.1","292.5"
"所定外労働時間（総数）","D建設業","５人以上","2015.0","335.1","319.2","363.5","373.1","317.3","294.2","330.8","375.0","305.8","346.2","353.8","307.7","334.6"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2006.0","-51.7","-55.0","-66.3","-55.7","-46.3","-60.2","-64.0","-60.7","-59.2","-27.9","-39.0","-28.6","-39.7"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2007.0","-4.8","64.3","25.9","3.0","-25.0","-11.0","-21.3","23.4","30.2","-22.9","-32.6","-26.5","-18.4"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2008.0","-10.2","-51.6","28.9","27.6","21.9","-16.8","-21.1","-9.0","-17.9","-20.9","-12.1","-26.0","-17.7"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2009.0","-24.9","-13.5","-52.1","-46.2","-20.5","17.3","1.9","-40.0","-31.0","-21.0","-10.6","-25.1","1.5"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2010.0","38.7","63.4","90.4","9.5","7.8","-15.3","5.9","70.2","118.2","38.6","27.3","71.9","37.3"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2011.0","55.6","-5.8","4.7","8.7","-5.7","-5.1","5.8","57.0","62.9","145.8","165.1","132.6","118.1"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2012.0","73.0","124.0","103.0","160.4","223.1","265.6","183.7","73.2","41.5","8.4","21.7","15.4","29.8"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2013.0","8.3","-7.7","-8.4","7.4","17.9","-3.0","-7.3","2.1","16.1","31.1","29.7","9.6","9.6"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2014.0","-24.3","-28.3","-46.9","-36.5","-39.3","-28.4","-20.7","-12.9","-19.4","-21.5","-24.8","-2.6","-10.6"
"所定外労働時間（総数）（前年比）","D建設業","５人以上","2015.0","51.8","104.0","154.2","80.7","56.1","66.0","87.7","61.8","24.0","33.6","32.7","6.1","14.4"
"所定外労働時間（総数）","E製造業","５人以上","2005.0","103.5","97.9","117.0","111.8","116.2","104.9","99.7","97.1","95.3","92.8","104.9","102.4","102.4"
"所定外労働時間（総数）","E製造業","５人以上","2006.0","108.4","92.8","104.9","98.9","113.6","107.5","108.3","112.6","106.6","109.2","111.8","115.3","119.7"
"所定外労働時間（総数）","E製造業","５人以上","2007.0","114.1","99.4","123.2","125.7","125.0","119.4","117.8","120.9","109.1","106.8","105.3","105.4","111.6"
"所定外労働時間（総数）","E製造業","５人以上","2008.0","108.4","108.6","120.6","122.8","121.2","105.6","109.9","118.6","111.3","94.7","99.0","99.0","89.9"
"所定外労働時間（総数）","E製造業","５人以上","2009.0","76.6","73.1","68.1","61.4","79.3","77.5","93.0","73.2","76.4","76.3","80.2","79.3","81.6"
"所定外労働時間（総数）","E製造業","５人以上","2010.0","100.0","79.8","87.8","86.0","93.9","93.0","100.0","107.8","100.5","109.0","114.5","110.4","117.3"
"所定外労働時間（総数）","E製造業","５人以上","2011.0","104.9","98.1","109.7","108.0","94.4","96.7","115.4","114.4","114.3","100.7","103.0","102.0","102.6"
"所定外労働時間（総数）","E製造業","５人以上","2012.0","104.4","83.6","106.2","104.3","108.9","107.7","103.2","108.7","104.1","105.4","98.3","109.0","113.0"
"所定外労働時間（総数）","E製造業","５人以上","2013.0","124.0","92.7","122.7","117.0","121.1","111.1","120.4","124.5","124.1","129.1","132.4","139.3","153.5"
"所定外労働時間（総数）","E製造業","５人以上","2014.0","132.6","118.6","143.8","135.3","136.7","120.7","135.1","133.8","125.8","121.6","131.6","143.6","144.2"
"所定外労働時間（総数）","E製造業","５人以上","2015.0","123.6","113.1","116.4","115.6","136.1","112.3","124.6","129.5","117.2","120.5","124.6","129.5","143.4"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2006.0","4.7","-5.4","-10.4","-11.6","-2.2","2.5","8.6","16.0","11.8","17.7","6.6","12.6","16.9"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2007.0","5.3","7.1","17.5","27.1","10.0","11.1","8.8","7.4","2.3","-2.2","-5.8","-8.6","-6.7"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2008.0","-5.0","9.3","-2.1","-2.3","-3.0","-11.5","-6.7","-1.9","2.0","-11.3","-6.0","-6.1","-19.5"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2009.0","-29.3","-32.7","-43.5","-50.0","-34.6","-26.6","-15.4","-38.3","-31.3","-19.5","-18.9","-19.9","-9.2"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2010.0","30.5","9.2","28.9","40.1","18.4","19.9","7.6","47.2","31.6","42.9","42.7","39.2","43.8"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2011.0","5.0","23.0","25.0","25.5","0.6","4.0","15.4","6.1","13.7","-7.6","-10.0","-7.6","-12.5"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2012.0","-0.5","-14.8","-3.2","-3.4","15.4","11.4","-10.6","-5.0","-8.9","4.7","-4.6","6.9","10.1"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2013.0","18.8","10.9","15.5","12.2","11.2","3.2","16.7","14.5","19.2","22.5","34.7","27.8","35.8"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2014.0","6.9","27.9","17.2","15.6","12.9","8.6","12.2","7.5","1.4","-5.8","-0.6","3.1","-6.1"
"所定外労働時間（総数）（前年比）","E製造業","５人以上","2015.0","-6.8","-4.6","-19.1","-14.6","-0.4","-7.0","-7.8","-3.2","-6.8","-0.9","-5.3","-9.8","-0.6"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2005.0","85.1","159.1","64.6","81.7","107.2","63.2","55.4","64.6","60.3","90.2","92.3","94.5","88.1"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2006.0","86.8","66.0","79.5","92.3","89.5","83.8","68.2","78.8","82.4","113.6","102.3","96.6","88.9"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2007.0","102.4","81.2","80.7","106.0","91.2","88.8","81.9","118.3","130.6","122.3","109.3","114.6","104.2"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2008.0","80.4","81.9","85.5","93.2","97.9","66.8","90.2","68.2","76.3","71.8","76.4","79.8","76.4"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2009.0","104.4","105.3","106.9","109.1","111.4","97.3","110.7","93.9","84.9","87.7","117.4","127.0","101.3"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2010.0","100.0","90.1","91.7","100.1","107.8","100.7","109.8","88.9","85.7","87.2","114.4","115.5","108.2"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2011.0","79.2","67.4","66.2","88.1","71.5","66.1","78.9","70.0","65.9","70.3","134.6","90.6","80.9"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2012.0","96.3","75.3","74.4","93.3","97.2","94.3","93.5","109.5","103.4","87.0","105.2","118.8","103.6"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2013.0","71.2","63.9","71.9","72.3","77.6","70.9","63.5","60.2","66.3","68.9","80.9","77.6","80.9"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2014.0","92.5","70.3","68.4","84.5","90.1","86.0","72.1","93.8","96.5","104.0","110.7","123.6","110.2"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","５人以上","2015.0","84.0","71.4","72.1","81.8","94.8","80.5","68.2","87.0","94.8","79.2","96.8","92.2","89.6"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2006.0","2.0","-58.5","23.1","13.0","-16.5","32.6","23.0","22.0","36.7","25.9","10.8","2.3","0.9"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2007.0","17.9","22.9","1.5","14.7","1.9","5.9","20.1","50.1","58.5","7.6","6.8","18.7","17.2"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2008.0","-21.5","0.8","6.0","-12.0","7.3","-24.7","10.2","-42.4","-41.5","-41.3","-30.1","-30.4","-26.6"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2009.0","30.0","28.6","25.0","17.1","13.8","45.6","22.7","37.7","11.1","22.2","53.6","59.1","32.5"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2010.0","-4.2","-14.4","-14.3","-8.3","-3.2","3.5","-0.8","-5.3","1.0","-0.6","-2.5","-9.0","6.8"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2011.0","-20.8","-25.2","-27.8","-12.0","-33.7","-34.3","-28.1","-21.3","-23.1","-19.4","17.7","-21.5","-25.2"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2012.0","21.6","11.7","12.4","5.9","35.9","42.7","18.5","56.4","56.9","23.8","-21.8","31.1","28.1"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2013.0","-26.1","-15.1","-3.4","-22.5","-20.2","-24.8","-32.1","-45.0","-35.9","-20.8","-23.1","-34.7","-21.9"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2014.0","29.9","10.0","-4.9","16.9","16.1","21.3","13.5","55.8","45.6","50.9","36.8","59.3","36.2"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","５人以上","2015.0","-9.2","1.6","5.4","-3.2","5.2","-6.4","-5.4","-7.2","-1.8","-23.8","-12.6","-25.4","-18.7"
"所定外労働時間（総数）","G情報通信業","５人以上","2005.0","148.6","154.6","165.5","171.9","179.2","168.2","170.0","142.8","116.4","103.6","118.3","129.1","163.6"
"所定外労働時間（総数）","G情報通信業","５人以上","2006.0","133.7","135.5","126.6","149.1","153.7","114.6","110.9","119.2","103.6","122.7","115.5","154.6","198.2"
"所定外労働時間（総数）","G情報通信業","５人以上","2007.0","141.5","119.2","123.5","130.5","141.8","112.3","130.2","134.2","107.0","132.6","157.1","161.8","247.4"
"所定外労働時間（総数）","G情報通信業","５人以上","2008.0","164.4","200.8","162.3","180.1","190.2","178.2","157.5","156.2","98.7","120.7","136.6","163.6","228.0"
"所定外労働時間（総数）","G情報通信業","５人以上","2009.0","98.4","106.4","110.9","152.6","126.0","112.0","96.3","80.7","70.6","59.6","79.4","85.6","100.8"
"所定外労働時間（総数）","G情報通信業","５人以上","2010.0","100.0","82.6","95.0","90.4","111.8","85.6","81.0","96.0","122.5","108.0","101.6","107.6","118.0"
"所定外労働時間（総数）","G情報通信業","５人以上","2011.0","96.8","89.6","84.3","96.3","115.3","98.7","86.2","88.7","91.1","82.2","128.0","103.6","97.3"
"所定外労働時間（総数）","G情報通信業","５人以上","2012.0","119.8","81.7","77.1","88.1","88.0","85.2","79.7","158.5","166.7","174.9","154.7","136.4","146.4"
"所定外労働時間（総数）","G情報通信業","５人以上","2013.0","128.0","138.1","135.4","140.8","146.3","134.4","136.2","127.0","115.1","116.9","109.6","117.7","118.7"
"所定外労働時間（総数）","G情報通信業","５人以上","2014.0","115.6","127.7","124.1","135.0","136.7","112.1","100.2","138.4","127.5","113.8","83.7","92.9","94.6"
"所定外労働時間（総数）","G情報通信業","５人以上","2015.0","120.5","108.3","129.4","130.3","106.4","115.6","108.3","111.0","125.7","124.8","133.0","126.6","126.6"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2006.0","-10.1","-12.3","-23.6","-13.3","-14.3","-31.9","-34.8","-16.5","-11.0","18.5","-2.4","19.7","21.2"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2007.0","5.8","-12.1","-2.5","-12.5","-7.7","-1.9","17.4","12.6","3.3","8.0","36.0","4.7","24.8"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2008.0","16.2","68.5","31.4","38.0","34.2","58.6","21.0","16.4","-7.8","-9.0","-13.1","1.1","-7.9"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2009.0","-40.1","-47.0","-31.7","-15.3","-33.8","-37.1","-38.9","-48.3","-28.5","-50.6","-41.9","-47.7","-55.8"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2010.0","1.7","-22.3","-14.3","-40.8","-11.3","-23.6","-15.9","19.0","73.5","81.3","28.1","25.7","17.1"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2011.0","-3.3","8.5","-11.3","6.6","3.2","15.3","6.4","-7.6","-25.6","-23.9","25.9","-3.7","-17.5"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2012.0","23.8","-8.8","-8.5","-8.5","-23.7","-13.7","-7.5","78.7","83.0","112.8","20.9","31.7","50.5"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2013.0","6.8","69.0","75.6","59.8","66.3","57.7","70.9","-19.9","-31.0","-33.2","-29.2","-13.7","-18.9"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2014.0","-9.7","-7.5","-8.3","-4.1","-6.6","-16.6","-26.4","9.0","10.8","-2.7","-23.6","-21.1","-20.3"
"所定外労働時間（総数）（前年比）","G情報通信業","５人以上","2015.0","4.2","-15.2","4.3","-3.5","-22.2","3.1","8.1","-19.8","-1.4","9.7","58.9","36.3","33.8"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2005.0","172.8","180.3","201.0","204.6","188.2","173.9","189.6","164.5","138.1","132.0","160.4","155.4","186.0"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2006.0","190.6","216.7","173.9","175.3","190.3","147.9","178.9","184.6","200.3","203.9","177.3","220.4","217.4"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2007.0","188.3","188.9","209.7","200.1","206.4","200.5","201.2","193.4","180.1","172.7","167.8","161.9","177.0"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2008.0","149.9","153.7","160.9","154.5","155.4","150.5","152.3","157.3","154.0","141.4","134.3","134.6","150.2"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2009.0","113.3","125.8","107.7","108.7","129.5","100.6","100.1","118.9","112.7","87.3","98.9","125.5","143.8"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2010.0","100.0","94.5","94.7","90.4","117.5","96.1","107.8","90.6","94.4","112.9","96.3","105.3","99.6"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2011.0","133.7","123.4","146.7","113.6","132.4","99.2","112.9","156.4","137.2","130.0","149.2","147.3","155.7"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2012.0","151.4","135.9","127.2","134.6","145.7","139.7","148.0","150.6","153.9","151.5","145.4","177.8","206.0"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2013.0","169.9","183.3","147.1","150.6","160.6","149.3","154.1","171.7","168.5","172.7","177.6","186.4","217.1"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2014.0","196.9","176.9","162.3","188.5","179.2","170.5","163.3","204.5","212.1","212.7","212.5","217.8","262.8"
"所定外労働時間（総数）","H運輸業、郵便業","５人以上","2015.0","272.5","247.9","235.9","228.9","233.1","233.1","230.3","321.1","310.6","312.0","278.9","291.5","346.5"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2006.0","10.3","20.2","-13.5","-14.4","1.1","-14.9","-5.7","12.2","45.1","54.2","10.7","41.8","16.9"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2007.0","-1.2","-12.8","20.6","14.2","8.4","35.5","12.5","4.8","-10.1","-15.3","-5.4","-26.5","-18.6"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2008.0","-20.5","-18.7","-23.2","-22.8","-24.7","-24.9","-24.3","-18.7","-14.5","-18.1","-20.0","-16.9","-15.1"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2009.0","-24.5","-18.1","-33.1","-29.6","-16.7","-33.2","-34.3","-24.4","-26.8","-38.3","-26.4","-6.8","-4.3"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2010.0","-11.6","-24.9","-12.0","-16.9","-9.2","-4.5","7.8","-23.8","-16.3","29.3","-2.6","-16.1","-30.8"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2011.0","33.5","30.5","54.9","25.6","12.6","3.2","4.6","72.7","45.4","15.2","54.9","39.9","56.4"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2012.0","13.2","10.1","-13.3","18.5","10.0","40.8","31.1","-3.7","12.2","16.5","-2.5","20.7","32.3"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2013.0","12.2","34.9","15.6","11.9","10.2","6.9","4.1","14.0","9.5","14.0","22.1","4.8","5.4"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2014.0","15.9","-3.5","10.3","25.2","11.6","14.2","6.0","19.1","25.9","23.2","19.7","16.8","21.1"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","５人以上","2015.0","38.4","40.1","45.3","21.4","30.1","36.7","41.0","57.0","46.4","46.7","31.2","33.8","31.8"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2005.0","134.4","120.5","122.8","113.5","129.7","125.1","134.2","147.9","131.9","134.2","159.0","141.1","152.4"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2006.0","151.2","136.5","150.2","156.8","156.8","154.7","159.0","156.8","156.8","145.6","163.7","161.4","116.0"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2007.0","117.0","171.9","116.4","112.1","143.2","119.3","119.0","93.4","104.8","96.7","94.7","111.7","120.9"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2008.0","129.1","130.3","118.5","127.6","140.7","128.9","124.8","126.3","131.5","136.9","119.7","126.8","137.6"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2009.0","112.4","152.1","120.5","134.5","138.5","134.6","134.6","87.2","87.2","85.3","87.3","89.4","97.4"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2010.0","100.0","97.4","95.5","111.5","121.5","117.6","97.7","87.7","93.8","91.8","93.8","85.9","105.9"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2011.0","90.7","102.0","70.0","80.1","80.1","74.2","76.2","86.1","108.3","98.4","102.4","106.4","104.5"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2012.0","112.5","111.8","97.6","125.5","125.3","121.0","118.6","111.8","104.6","110.5","103.2","104.6","115.2"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2013.0","121.0","109.9","90.0","98.4","111.8","118.2","117.2","133.8","135.4","137.1","133.6","124.6","142.1"
"所定外労働時間（総数）","I卸売業・小売業","５人以上","2014.0","200.1","187.2","170.2","183.2","210.6","204.4","206.6","203.1","231.6","201.5","188.6","196.8","217.1"
