"　　毎月勤労統計調査　産業別時系列表（賃金・労働時間・雇用指数、労働異動率及び対前年比（差））　　和歌山県","","","","","","","","","","","","","","","平成22年＝100",""
"所定外労働時間（総数）（前年比）","TL調査産業計","３０人以上","2011.0","7.8","15.2","11.4","9.8","-0.8","6.2","11.7","17.8","11.6","0.2","0.3","3.7","9.2"
"所定外労働時間（総数）（前年比）","TL調査産業計","３０人以上","2012.0","-4.2","-1.5","1.4","3.3","6.7","5.0","-10.5","-10.5","-9.9","-7.1","-13.6","-8.6","-2.9"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2006.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2007.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2008.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2009.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2011.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","C鉱業、採石業、砂利採取業","３０人以上","2012.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）","D建設業","３０人以上","2006.0","194.4","Ｘ","Ｘ","369.7","284.7","113.8","455.5","227.4","256.1","227.4","142.3","Ｘ","Ｘ"
"所定外労働時間（総数）","D建設業","３０人以上","2007.0","173.5","227.9","216.2","227.0","154.3","160.7","168.3","159.4","148.3","175.6","147.0","156.7","140.8"
"所定外労働時間（総数）","D建設業","３０人以上","2008.0","103.2","119.8","174.7","172.5","131.6","111.6","93.8","74.2","71.4","84.9","74.1","67.7","61.5"
"所定外労働時間（総数）","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）","D建設業","３０人以上","2012.0","183.9","157.7","187.3","200.0","198.6","164.8","177.5","170.4","185.9","185.9","188.7","181.7","208.5"
"所定外労働時間（総数）（前年比）","D建設業","３０人以上","2007.0","-10.7","Ｘ","Ｘ","-38.6","-45.8","41.2","-63.0","-29.9","-42.1","-22.8","3.4","Ｘ","Ｘ"
"所定外労働時間（総数）（前年比）","D建設業","３０人以上","2008.0","-40.6","-47.4","-19.2","-24.0","-14.7","-30.6","-44.3","-53.4","-51.9","-51.7","-49.6","-56.8","-56.3"
"所定外労働時間（総数）（前年比）","D建設業","３０人以上","2009.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）（前年比）","D建設業","３０人以上","2010.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）（前年比）","D建設業","３０人以上","2011.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）（前年比）","D建設業","３０人以上","2012.0","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ","Ｘ"
"所定外労働時間（総数）","E製造業","３０人以上","2006.0","120.7","103.7","115.2","109.1","122.3","120.0","124.5","125.3","123.8","124.5","124.5","125.3","130.0"
"所定外労働時間（総数）","E製造業","３０人以上","2007.0","127.8","114.7","133.5","137.8","139.0","138.2","129.8","132.4","120.3","120.2","120.7","121.3","125.6"
"所定外労働時間（総数）","E製造業","３０人以上","2008.0","102.1","105.9","115.1","115.5","116.5","99.4","92.3","104.0","99.1","93.2","96.0","97.3","90.6"
"所定外労働時間（総数）","E製造業","３０人以上","2009.0","79.0","67.8","68.5","61.8","78.2","74.4","80.7","81.9","83.1","80.2","91.3","89.0","91.5"
"所定外労働時間（総数）","E製造業","３０人以上","2010.0","100.0","80.9","89.8","88.9","97.1","97.6","101.5","103.4","101.9","108.5","115.9","106.0","108.5"
"所定外労働時間（総数）","E製造業","３０人以上","2011.0","107.8","97.3","105.2","105.7","93.8","98.4","116.5","125.0","125.4","108.4","110.1","102.5","105.5"
"所定外労働時間（総数）","E製造業","３０人以上","2012.0","104.2","87.8","112.9","107.2","108.6","112.2","105.0","107.2","102.2","103.6","91.4","105.0","107.2"
"所定外労働時間（総数）（前年比）","E製造業","３０人以上","2007.0","5.8","10.6","15.8","26.3","13.7","15.2","4.2","5.6","-2.8","-3.5","-3.0","-3.2","-3.4"
"所定外労働時間（総数）（前年比）","E製造業","３０人以上","2008.0","-20.1","-7.7","-13.7","-16.1","-16.2","-28.0","-28.9","-21.5","-17.6","-22.4","-20.5","-19.8","-27.9"
"所定外労働時間（総数）（前年比）","E製造業","３０人以上","2009.0","-22.6","-35.9","-40.5","-46.5","-32.9","-25.2","-12.6","-21.2","-16.2","-14.0","-4.8","-8.5","1.0"
"所定外労働時間（総数）（前年比）","E製造業","３０人以上","2010.0","26.5","19.3","31.2","43.8","24.3","31.3","25.8","26.2","22.6","35.3","26.9","19.1","18.5"
"所定外労働時間（総数）（前年比）","E製造業","３０人以上","2011.0","7.9","20.3","17.1","19.0","-3.4","0.8","14.7","20.9","23.2","-0.1","-5.0","-3.3","-2.7"
"所定外労働時間（総数）（前年比）","E製造業","３０人以上","2012.0","-3.3","-9.8","7.3","1.4","15.8","14.0","-9.9","-14.2","-18.5","-4.4","-17.0","2.4","1.6"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2006.0","123.8","104.1","123.3","139.9","130.8","119.1","101.6","108.2","112.5","130.0","144.9","142.4","129.1"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2007.0","123.6","116.6","110.6","136.1","129.9","124.7","118.7","115.0","125.3","123.6","123.4","137.5","122.0"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2008.0","111.0","109.6","110.0","118.4","118.0","109.2","108.3","103.5","112.3","108.7","114.6","116.7","102.1"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2009.0","97.5","98.8","90.3","97.5","106.1","95.2","85.8","81.6","82.0","84.6","119.7","128.7","99.7"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2010.0","100.0","89.9","91.1","95.4","108.4","94.7","96.6","99.4","90.2","93.0","115.2","121.5","104.7"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2011.0","115.1","95.2","96.6","130.8","103.1","96.0","110.6","98.5","92.9","99.9","204.2","134.9","118.3"
"所定外労働時間（総数）","F電気・ガス・熱供給・水道業","３０人以上","2012.0","119.1","113.3","110.4","132.6","136.3","131.9","123.0","120.7","113.3","94.8","114.1","128.1","111.1"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2007.0","-0.2","12.1","-10.3","-2.6","-0.7","4.7","16.8","6.2","11.4","-4.9","-14.9","-3.5","-5.5"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2008.0","-10.3","-6.1","-0.5","-13.0","-9.2","-12.4","-8.7","-10.0","-10.4","-12.1","-7.1","-15.1","-16.4"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2009.0","-12.1","-9.8","-17.9","-17.7","-10.1","-12.8","-20.8","-21.1","-27.0","-22.2","4.4","10.3","-2.3"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2010.0","2.6","-9.0","0.9","-2.1","2.2","-0.6","12.5","21.7","10.0","9.9","-3.7","-5.7","5.1"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2011.0","15.0","5.9","6.0","37.0","-5.0","1.4","14.5","-0.9","3.0","7.5","77.3","11.1","13.0"
"所定外労働時間（総数）（前年比）","F電気・ガス・熱供給・水道業","３０人以上","2012.0","3.5","19.0","14.3","1.4","32.2","37.4","11.2","22.5","22.0","-5.1","-44.1","-5.0","-6.1"
"所定外労働時間（総数）","G情報通信業","３０人以上","2006.0","162.8","152.7","151.6","180.0","180.0","143.2","134.8","150.8","126.4","151.6","151.6","187.6","243.0"
"所定外労働時間（総数）","G情報通信業","３０人以上","2007.0","182.1","150.6","162.0","171.2","181.5","137.5","167.8","169.5","135.2","172.9","193.5","208.3","334.9"
"所定外労働時間（総数）","G情報通信業","３０人以上","2008.0","197.1","260.3","204.6","234.4","251.9","238.4","205.4","162.4","104.3","128.4","170.1","139.2","265.2"
"所定外労働時間（総数）","G情報通信業","３０人以上","2009.0","119.9","127.8","125.6","136.7","132.6","127.7","109.4","119.6","101.5","83.4","113.2","121.3","139.8"
"所定外労働時間（総数）","G情報通信業","３０人以上","2010.0","100.0","96.7","112.3","107.3","129.3","83.8","80.0","77.2","110.9","89.6","90.3","108.3","114.4"
"所定外労働時間（総数）","G情報通信業","３０人以上","2011.0","115.1","110.4","102.1","116.3","146.6","123.0","103.0","102.7","103.3","89.9","156.1","119.6","107.7"
"所定外労働時間（総数）","G情報通信業","３０人以上","2012.0","94.0","93.3","87.6","98.1","98.1","97.1","90.5","87.6","86.7","92.4","90.5","97.1","109.5"
"所定外労働時間（総数）（前年比）","G情報通信業","３０人以上","2007.0","11.9","-1.4","6.8","-4.9","0.8","-4.0","24.5","12.5","7.0","14.0","27.6","11.0","37.8"
"所定外労働時間（総数）（前年比）","G情報通信業","３０人以上","2008.0","8.2","72.8","26.3","37.0","38.8","73.4","22.5","-4.2","-22.8","-25.7","-12.1","-33.1","-20.8"
"所定外労働時間（総数）（前年比）","G情報通信業","３０人以上","2009.0","-39.2","-50.9","-38.6","-41.7","-47.4","-46.4","-46.8","-26.4","-2.7","-35.1","-33.4","-12.8","-47.3"
"所定外労働時間（総数）（前年比）","G情報通信業","３０人以上","2010.0","-16.5","-24.4","-10.6","-21.5","-2.5","-34.4","-26.9","-35.5","9.2","7.4","-20.2","-10.7","-18.2"
"所定外労働時間（総数）（前年比）","G情報通信業","３０人以上","2011.0","15.1","14.2","-9.1","8.4","13.4","46.7","28.8","33.1","-6.8","0.3","72.8","10.4","-5.8"
"所定外労働時間（総数）（前年比）","G情報通信業","３０人以上","2012.0","-18.3","-15.5","-14.2","-15.6","-33.1","-21.1","-12.1","-14.7","-16.1","2.8","-42.0","-18.8","1.7"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2006.0","141.0","182.9","139.6","141.9","151.7","115.9","137.8","118.5","135.2","139.6","112.2","151.7","164.7"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2007.0","134.4","147.3","146.3","145.2","148.6","138.9","137.3","139.4","130.1","127.3","116.3","116.3","119.7"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2008.0","95.9","109.2","116.1","105.0","105.8","100.1","99.1","96.9","90.7","87.6","82.6","79.4","78.8"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2009.0","80.6","72.3","77.3","79.0","85.6","77.3","71.3","84.1","79.0","69.4","78.3","96.1","97.4"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2010.0","100.0","92.3","91.2","91.1","106.2","90.7","98.5","98.4","100.1","118.6","101.2","111.9","99.6"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2011.0","104.1","100.8","96.8","106.8","122.4","85.7","99.6","109.2","96.4","97.0","112.2","106.6","115.3"
"所定外労働時間（総数）","H運輸業、郵便業","３０人以上","2012.0","86.1","89.0","73.7","80.3","78.5","81.6","81.6","90.4","86.8","83.3","74.1","90.4","123.7"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","３０人以上","2007.0","-4.6","-19.5","4.8","2.4","-2.0","19.8","-0.4","17.7","-3.8","-8.8","3.7","-23.3","-27.3"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","３０人以上","2008.0","-28.6","-25.8","-20.7","-27.7","-28.8","-27.9","-27.8","-30.5","-30.3","-31.2","-29.0","-31.8","-34.2"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","３０人以上","2009.0","-16.0","-33.7","-33.4","-24.8","-19.1","-22.8","-28.1","-13.2","-12.9","-20.8","-5.2","21.1","23.6"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","３０人以上","2010.0","24.1","27.6","18.0","15.4","24.1","17.3","38.3","17.0","26.8","71.0","29.3","16.4","2.2"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","３０人以上","2011.0","4.0","9.2","6.1","17.2","15.2","-5.5","1.1","11.0","-3.8","-18.2","10.8","-4.7","15.7"
"所定外労働時間（総数）（前年比）","H運輸業、郵便業","３０人以上","2012.0","-17.3","-11.7","-23.9","-24.8","-35.9","-4.8","-18.1","-17.2","-10.0","-14.1","-34.0","-15.2","7.3"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2006.0","275.4","229.1","277.6","295.3","274.2","281.1","274.2","281.1","284.5","267.3","277.6","270.6","291.7"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2007.0","155.6","275.2","148.8","137.5","160.1","136.0","135.2","139.5","151.3","137.8","114.2","163.7","167.8"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2008.0","118.0","144.4","103.9","108.0","149.0","104.4","108.5","119.8","128.8","104.1","96.5","114.4","134.7"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2009.0","97.5","117.5","61.6","72.1","88.2","90.8","128.3","96.2","104.1","93.6","93.6","96.2","128.3"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2010.0","100.0","144.4","101.6","93.6","93.6","128.3","66.7","80.3","104.1","77.5","98.8","85.4","125.7"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2011.0","96.0","147.0","93.6","82.9","88.2","90.8","80.3","85.4","96.2","82.9","93.6","90.8","120.3"
"所定外労働時間（総数）","I卸売業・小売業","３０人以上","2012.0","139.9","145.9","105.4","175.7","159.5","156.8","145.9","132.4","140.5","140.5","118.9","127.0","129.7"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","３０人以上","2007.0","-43.4","20.2","-46.4","-53.4","-41.6","-51.6","-50.7","-50.4","-46.8","-48.5","-58.9","-39.5","-42.5"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","３０人以上","2008.0","-24.2","-47.5","-30.2","-21.5","-6.9","-23.2","-19.7","-14.2","-14.9","-24.4","-15.5","-30.1","-19.7"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","３０人以上","2009.0","-17.4","-18.7","-40.7","-33.3","-40.8","-13.0","18.2","-19.7","-19.1","-10.1","-2.9","-15.9","-4.8"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","３０人以上","2010.0","2.6","22.9","65.0","29.9","6.1","41.2","-48.0","-16.5","0.0","-17.3","5.5","-11.2","-2.0"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","３０人以上","2011.0","-4.1","1.8","-7.8","-11.5","-5.8","-29.2","20.4","6.4","-7.6","7.0","-5.2","6.3","-4.3"
"所定外労働時間（総数）（前年比）","I卸売業・小売業","３０人以上","2012.0","45.7","-0.7","12.6","111.9","80.8","72.7","81.7","55.0","46.0","69.5","27.0","39.9","7.8"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2006.0","55.8","58.3","85.5","63.2","58.3","58.3","54.4","48.8","54.4","52.8","48.0","44.7","42.4"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2007.0","40.9","39.1","37.4","27.4","40.9","45.5","41.4","42.8","44.3","38.3","45.6","45.3","42.5"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2008.0","47.6","36.0","41.8","39.7","56.7","50.0","45.0","51.3","40.4","41.9","66.0","50.8","51.4"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2009.0","73.8","61.2","65.3","77.9","78.4","64.0","65.0","72.6","64.7","74.0","88.1","87.7","87.2"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2010.0","100.0","76.0","112.4","113.2","118.5","105.0","94.9","85.5","93.6","92.8","111.2","99.3","97.5"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2011.0","103.0","101.9","106.3","117.3","106.8","95.9","102.6","100.5","97.0","92.4","115.6","96.8","102.6"
"所定外労働時間（総数）","J金融業・保険業","３０人以上","2012.0","97.4","105.9","104.4","101.5","79.4","100.0","97.1","101.5","94.1","90.4","94.9","102.2","97.8"
"所定外労働時間（総数）（前年比）","J金融業・保険業","３０人以上","2007.0","-26.8","-33.0","-56.2","-56.6","-29.8","-22.0","-23.9","-12.2","-18.5","-27.5","-5.0","1.3","0.2"
"所定外労働時間（総数）（前年比）","J金融業・保険業","３０人以上","2008.0","16.5","-7.8","11.7","45.1","38.4","9.9","8.9","20.0","-8.7","9.4","44.9","12.1","21.1"
"所定外労働時間（総数）（前年比）","J金融業・保険業","３０人以上","2009.0","55.1","69.9","56.1","96.0","38.4","28.0","44.4","41.5","60.0","76.8","33.4","72.7","69.6"
"所定外労働時間（総数）（前年比）","J金融業・保険業","３０人以上","2010.0","35.5","24.1","72.2","45.2","51.1","64.1","46.0","17.7","44.7","25.4","26.3","13.3","11.8"
"所定外労働時間（総数）（前年比）","J金融業・保険業","３０人以上","2011.0","3.0","34.1","-5.4","3.7","-9.9","-8.7","8.1","17.5","3.7","-0.5","3.9","-2.5","5.3"
"所定外労働時間（総数）（前年比）","J金融業・保険業","３０人以上","2012.0","-5.4","3.9","-1.8","-13.5","-25.7","4.3","-5.4","1.0","-3.0","-2.2","-17.9","5.6","-4.7"
"所定外労働時間（総数）","K不動産業、物品賃貸業","３０人以上","2010.0","100.0","58.9","49.8","58.3","82.0","123.3","118.5","143.4","192.6","116.1","111.2","74.7","71.1"
"所定外労働時間（総数）","K不動産業、物品賃貸業","３０人以上","2011.0","81.0","74.1","62.6","98.4","62.6","110.0","112.4","158.0","101.5","45.0","56.5","47.4","43.1"
"所定外労働時間（総数）","K不動産業、物品賃貸業","３０人以上","2012.0","75.3","68.5","78.8","84.8","89.1","72.1","71.5","68.5","72.1","73.9","69.7","72.7","81.8"
"所定外労働時間（総数）（前年比）","K不動産業、物品賃貸業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","K不動産業、物品賃貸業","３０人以上","2011.0","-19.4","25.8","25.6","68.8","-23.7","-10.8","-5.1","10.2","-47.3","-61.3","-49.2","-36.6","-39.3"
"所定外労働時間（総数）（前年比）","K不動産業、物品賃貸業","３０人以上","2012.0","-7.0","-7.6","25.9","-13.8","42.3","-34.5","-36.4","-56.6","-29.0","64.2","23.4","53.4","89.8"
"所定外労働時間（総数）","L学術研究、専門･技術サービス業","３０人以上","2010.0","100.0","97.0","121.0","138.0","105.0","87.0","95.0","96.0","98.0","93.0","91.0","79.0","100.0"
"所定外労働時間（総数）","L学術研究、専門･技術サービス業","３０人以上","2011.0","124.1","87.0","116.0","119.0","162.0","126.0","152.0","115.0","99.0","111.0","188.0","106.0","108.0"
"所定外労働時間（総数）","L学術研究、専門･技術サービス業","３０人以上","2012.0","131.1","127.0","136.0","159.0","148.0","137.0","112.0","117.0","130.0","107.0","140.0","135.0","125.0"
"所定外労働時間（総数）（前年比）","L学術研究、専門･技術サービス業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","L学術研究、専門･技術サービス業","３０人以上","2011.0","24.0","-10.3","-4.1","-13.8","54.3","44.8","60.0","19.8","1.0","19.4","106.6","34.2","8.0"
"所定外労働時間（総数）（前年比）","L学術研究、専門･技術サービス業","３０人以上","2012.0","5.6","46.0","17.2","33.6","-8.6","8.7","-26.3","1.7","31.3","-3.6","-25.5","27.4","15.7"
"所定外労働時間（総数）","M宿泊業、飲食サービス業","３０人以上","2010.0","100.0","90.6","87.7","90.6","99.1","87.7","79.2","96.2","152.8","99.1","96.2","118.9","101.9"
"所定外労働時間（総数）","M宿泊業、飲食サービス業","３０人以上","2011.0","111.1","101.9","84.9","99.1","93.4","107.5","99.1","107.5","167.0","138.7","107.5","113.2","113.2"
"所定外労働時間（総数）","M宿泊業、飲食サービス業","３０人以上","2012.0","120.7","145.7","108.6","100.0","125.7","100.0","80.0","120.0","174.3","160.0","80.0","102.9","151.4"
"所定外労働時間（総数）（前年比）","M宿泊業、飲食サービス業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","M宿泊業、飲食サービス業","３０人以上","2011.0","11.4","12.5","-3.2","9.4","-5.7","22.6","25.0","11.8","9.3","40.0","11.8","-4.8","11.1"
"所定外労働時間（総数）（前年比）","M宿泊業、飲食サービス業","３０人以上","2012.0","8.6","43.0","27.9","0.9","34.6","-7.0","-19.3","11.6","4.4","15.4","-25.6","-9.1","33.7"
"所定外労働時間（総数）","N生活関連サービス業、娯楽業","３０人以上","2010.0","100.0","54.5","66.8","58.0","163.4","142.3","147.6","128.3","128.3","103.7","70.3","86.1","51.0"
"所定外労働時間（総数）","N生活関連サービス業、娯楽業","３０人以上","2011.0","137.0","65.0","75.5","66.8","119.5","193.3","175.7","158.1","166.9","233.7","135.3","145.8","108.9"
"所定外労働時間（総数）","N生活関連サービス業、娯楽業","３０人以上","2012.0","71.8","114.0","131.6","112.3","100.0","303.5","5.3","3.5","5.3","3.5","1.8","8.8","71.9"
"所定外労働時間（総数）（前年比）","N生活関連サービス業、娯楽業","３０人以上","2010.0","－","－","－","－","－","－","－","－","－","－","－","－","－"
"所定外労働時間（総数）（前年比）","N生活関連サービス業、娯楽業","３０人以上","2011.0","36.8","19.4","13.2","15.2","-26.9","35.8","19.0","23.3","30.1","125.4","92.5","69.4","113.8"
"所定外労働時間（総数）（前年比）","N生活関連サービス業、娯楽業","３０人以上","2012.0","-47.6","75.4","74.3","68.1","-16.3","57.0","-97.0","-97.8","-96.8","-98.5","-98.7","-94.0","-34.0"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2006.0","65.9","70.9","54.0","60.7","76.5","74.3","68.6","73.2","39.4","59.6","74.3","81.0","58.5"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2007.0","151.6","63.0","48.4","95.7","94.4","112.7","99.3","279.0","215.6","321.8","123.5","188.9","177.0"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2008.0","317.9","170.7","149.1","252.3","270.4","341.4","264.0","281.6","407.6","542.9","421.4","329.9","383.8"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2009.0","142.4","130.1","132.8","180.9","157.6","180.1","180.1","129.7","132.8","133.3","131.6","108.3","111.1"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2010.0","100.0","97.3","92.0","125.9","93.3","80.8","131.9","99.4","98.3","118.0","89.6","86.9","86.5"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2011.0","69.7","77.9","81.0","82.4","37.1","97.1","98.9","82.6","77.0","68.3","6.2","64.7","63.4"
"所定外労働時間（総数）","O教育，学習支援業","３０人以上","2012.0","56.3","50.0","55.3","57.9","63.2","59.2","55.3","56.6","57.9","52.6","53.9","56.6","56.6"
"所定外労働時間（総数）（前年比）","O教育，学習支援業","３０人以上","2007.0","129.9","-11.0","-10.5","57.6","23.3","51.6","44.8","281.2","447.2","439.6","66.2","133.2","202.6"
"所定外労働時間（総数）（前年比）","O教育，学習支援業","３０人以上","2008.0","109.7","170.7","208.3","163.6","186.5","203.1","165.8","0.9","89.0","68.7","241.2","74.7","116.8"
"所定外労働時間（総数）（前年比）","O教育，学習支援業","３０人以上","2009.0","-55.2","-23.8","-10.9","-28.3","-41.7","-47.2","-31.8","-53.9","-67.4","-75.4","-68.8","-67.2","-71.1"
